Date,Actual,LSTM_Pred,GRU_Pred
2024-02-15,177.2899932861328,178.62653,174.16559
2024-02-16,182.47000122070312,178.48009,176.66345
2024-02-17,178.00999450683594,179.86082,181.0961
2024-02-18,187.44000244140625,181.00484,180.69301
2024-02-19,184.8600006103516,183.62999,185.80307
2024-02-20,181.57000732421875,186.07408,186.73564
2024-02-21,183.00999450683597,187.3564,185.02065
2024-02-22,182.5800018310547,188.02509,184.83972
2024-02-23,187.3500061035156,188.11705,184.48454
2024-02-24,196.3699951171875,188.78018,187.12215
2024-02-25,197.4199981689453,191.3613,193.76286
2024-02-26,197.8800048828125,194.72038,197.56754
2024-02-27,209.8600006103516,197.99217,199.37172
2024-02-28,231.25999450683597,202.97357,207.05727
2024-02-29,246.3899993896484,212.2687,223.43793
2024-03-01,251.5200042724609,225.36687,240.14809
2024-03-02,252.94000244140625,239.18665,250.30281
2024-03-03,262.3299865722656,250.91252,254.70744
2024-03-04,263.260009765625,261.01804,261.56534
2024-03-05,241.0299987792969,268.0856,264.5466
2024-03-06,248.22999572753903,266.69205,251.29443
2024-03-07,252.63999938964844,262.60764,249.45204
2024-03-08,256.5599975585937,258.79535,251.59424
2024-03-09,248.5,256.79703,255.24983
2024-03-10,249.22999572753903,254.39725,251.84741
2024-03-11,239.1999969482422,252.54765,250.61278
2024-03-12,251.50999450683597,249.18802,243.82353
2024-03-13,246.3800048828125,248.5725,248.50305
2024-03-14,215.9900054931641,248.41411,247.71062
2024-03-15,220.25,241.98271,228.48505
2024-03-16,219.8000030517578,234.72879,222.44586
2024-03-17,232.1000061035156,228.44945,220.10027
2024-03-18,222.6199951171875,226.64305,227.20433
2024-03-19,232.07000732421875,225.62692,225.1444
2024-03-20,216.8600006103516,227.36865,229.91133
2024-03-21,207.6699981689453,227.03574,222.82007
2024-03-22,198.8800048828125,223.82951,213.82114
2024-03-23,200.63999938964844,217.9369,204.50215
2024-03-24,191.75999450683597,212.17749,201.6524
2024-03-25,198.83999633789065,205.83731,195.61232
2024-03-26,200.0,201.90187,197.3824
2024-03-27,197.4900054931641,200.23447,199.38855
2024-03-28,207.8300018310547,199.65718,199.04799
2024-03-29,201.3800048828125,201.87758,205.06042
2024-03-30,214.13999938964844,203.9028,204.11919
2024-03-31,216.1199951171875,208.0495,211.11377
2024-04-01,222.72000122070312,212.92354,215.58282
2024-04-02,221.1000061035156,218.62332,221.41812
2024-04-03,223.2700042724609,223.28416,222.84416
2024-04-04,210.66000366210935,226.8687,224.43167
2024-04-05,220.32000732421875,226.41237,217.21931
2024-04-06,213.2100067138672,225.85257,219.52379
2024-04-07,209.2100067138672,223.74222,216.4599
2024-04-08,205.75,220.40286,212.6301
2024-04-09,206.27999877929688,216.35478,208.83415
2024-04-10,214.1100006103516,212.85149,207.56738
2024-04-11,210.6000061035156,211.94084,211.94205
2024-04-12,219.41000366210935,211.9005,212.10252
2024-04-13,230.1699981689453,214.21234,217.4254
2024-04-14,210.72999572753903,219.58923,226.42552
2024-04-15,216.2700042724609,221.54796,218.58708
2024-04-16,226.1699981689453,222.49452,217.8271
2024-04-17,228.1300048828125,224.68756,223.50865
2024-04-18,229.80999755859372,227.49074,227.48976
2024-04-19,230.2899932861328,230.42772,230.19817
2024-04-20,226.77999877929688,232.92856,231.47157
2024-04-21,227.8699951171875,233.90141,229.65677
2024-04-22,227.1999969482422,234.05432,229.30823
2024-04-23,243.9199981689453,233.54291,228.71127
2024-04-24,238.25,236.34857,238.7081
2024-04-25,250.00000000000003,239.08975,239.8683
2024-04-26,254.2700042724609,243.84924,247.30319
2024-04-27,257.0199890136719,249.60927,253.0758
2024-04-28,254.2200012207031,255.3108,257.00592
2024-04-29,260.4599914550781,259.10086,256.56097
2024-04-30,261.6300048828125,262.40765,259.87747
2024-05-01,258.0199890136719,264.90872,261.897
2024-05-02,249.02000427246094,265.5522,260.3054
2024-05-03,240.66000366210935,262.97348,253.73224
2024-05-04,250.0800018310547,257.3562,245.52745
2024-05-05,240.83000183105472,253.47568,247.93492
2024-05-06,244.49999999999997,249.25885,243.69423
2024-05-07,241.05000305175778,246.685,244.214
2024-05-08,238.7700042724609,244.7996,242.4996
2024-05-09,217.8000030517578,243.25868,240.41794
2024-05-10,219.16000366210935,237.7366,226.62408
2024-05-11,219.57000732421875,231.70326,221.345
2024-05-12,221.3300018310547,226.74095,219.74855
2024-05-13,220.88999938964844,223.7822,220.64581
2024-05-14,220.6999969482422,222.45607,221.14085
2024-05-15,218.8500061035156,222.29453,221.39359
2024-05-16,217.97000122070312,222.44856,220.43597
2024-05-17,213.6499938964844,222.58897,219.4794
2024-05-18,260.4800109863281,221.80313,216.46432
2024-05-19,269.19000244140625,230.55563,243.68515
2024-05-20,262.510009765625,244.66495,262.16742
2024-05-21,259.5199890136719,257.54498,265.46786
2024-05-22,257.54998779296875,266.35086,263.74872
2024-05-23,249.8500061035156,270.38785,260.94626
2024-05-24,248.97999572753903,268.9776,254.55795
2024-05-25,242.83999633789065,264.6199,251.12398
2024-05-26,251.44000244140622,258.1557,245.95164
2024-05-27,288.5299987792969,253.90309,249.2192
2024-05-28,296.9100036621094,260.0844,274.22223
2024-05-29,321.2200012207031,272.50784,290.90408
2024-05-30,350.0,291.64206,312.90085
2024-05-31,328.489990234375,317.44714,339.87454
2024-06-01,330.239990234375,335.4278,335.5848
2024-06-02,311.17999267578125,345.04993,333.2249
2024-06-03,320.7200012207031,342.30777,318.8715
2024-06-04,338.739990234375,335.87045,318.95984
2024-06-05,346.0,333.45404,331.07596
2024-06-06,342.0299987792969,335.46442,341.0328
2024-06-07,339.6400146484375,338.2377,342.05026
2024-06-08,352.5599975585937,340.1144,340.2222
2024-06-09,338.5899963378906,344.4538,347.61816
2024-06-10,338.2300109863281,345.25162,341.1936
2024-06-11,332.8900146484375,343.9971,338.04184
2024-06-12,345.1600036621094,340.59756,333.21887
2024-06-13,357.0899963378906,340.22614,339.50012
2024-06-14,351.4200134277344,344.67587,350.15033
2024-06-15,357.92999267578125,349.06787,350.56052
2024-06-16,369.489990234375,354.1329,354.55865
2024-06-17,389.2200012207031,361.32358,363.5303
2024-06-18,389.7900085449219,373.08835,379.99414
2024-06-19,400.989990234375,384.23785,386.33844
2024-06-20,424.7699890136719,395.11008,395.4475
2024-06-21,418.1000061035156,409.3929,414.26855
2024-06-22,436.2300109863281,419.25226,416.1566
2024-06-23,463.0199890136719,428.9848,428.11615
2024-06-24,479.85998535156256,443.33804,450.13928
2024-06-25,440.1300048828125,460.57535,469.0209
2024-06-26,436.1700134277344,461.64194,447.09622
2024-06-27,421.05999755859375,452.46194,435.11234
2024-06-28,430.6000061035156,435.9072,420.33463
2024-06-29,462.2799987792969,423.3742,421.94595
2024-06-30,454.1300048828125,426.00916,444.88467
